               airplane  alarm clock  angel  ant  apple  arm  armchair  ashtray  axe  backpack  banana  barn  baseball bat  basket  bathtub  bear (animal)  bed  bee  beer-mug  bell  bench  bicycle  binoculars  blimp  book  bookshelf
airplane              6            0      0    0      0    0         1        0    1         0       0     0             0       0        0              0    0    0         0     0      0        0           0      0     0          0
alarm clock           0            7      0    0      0    0         0        0    0         0       0     0             0       0        0              0    0    0         0     0      0        0           1      0     0          0
angel                 0            0      8    0      0    0         0        0    0         0       0     0             0       0        0              0    0    0         0     0      0        0           0      0     0          0
ant                   0            0      0    7      0    0         0        0    0         0       1     0             0       0        0              0    0    0         0     0      0        0           0      0     0          0
apple                 0            0      0    0      8    0         0        0    0         0       0     0             0       0        0              0    0    0         0     0      0        0           0      0     0          0
arm                   0            0      0    0      0    8         0        0    0         0       0     0             0       0        0              0    0    0         0     0      0        0           0      0     0          0
armchair              0            0      1    1      0    1         3        0    0         1       0     0             0       0        0              0    1    0         0     0      0        0           0      0     0          0
ashtray               0            0      0    0      0    0         0        8    0         0       0     0             0       0        0              0    0    0         0     0      0        0           0      0     0          0
axe                   0            0      0    0      0    0         0        0    8         0       0     0             0       0        0              0    0    0         0     0      0        0           0      0     0          0
backpack              0            0      0    0      0    1         0        0    0         7       0     0             0       0        0              0    0    0         0     0      0        0           0      0     0          0
banana                0            0      0    0      0    1         1        0    0         0       6     0             0       0        0              0    0    0         0     0      0        0           0      0     0          0
barn                  0            0      0    0      0    0         0        0    0         0       0     8             0       0        0              0    0    0         0     0      0        0           0      0     0          0
baseball bat          0            0      0    0      0    0         0        0    0         0       0     0             8       0        0              0    0    0         0     0      0        0           0      0     0          0
basket                0            0      0    0      0    0         0        0    0         0       0     0             0       8        0              0    0    0         0     0      0        0           0      0     0          0
bathtub               0            0      0    0      0    0         0        2    0         0       0     0             0       0        6              0    0    0         0     0      0        0           0      0     0          0
bear (animal)         0            0      0    0      0    0         0        0    0         0       0     0             0       0        0              7    0    0         0     0      0        0           0      1     0          0
bed                   0            0      0    0      0    0         0        0    0         0       0     0             0       0        1              0    6    0         0     0      0        0           0      1     0          0
bee                   0            0      0    0      0    0         0        0    0         0       0     1             0       0        0              1    0    6         0     0      0        0           0      0     0          0
beer-mug              0            0      0    0      0    0         0        0    0         0       0     0             0       0        0              0    0    0         7     0      0        0           0      0     0          1
bell                  0            0      0    0      0    0         0        0    0         0       0     0             0       0        0              0    0    0         0     8      0        0           0      0     0          0
bench                 0            0      0    0      0    0         1        0    0         0       0     0             0       0        0              0    0    0         0     0      7        0           0      0     0          0
bicycle               0            0      0    0      0    0         0        0    0         0       0     0             0       0        0              0    0    0         0     0      0        8           0      0     0          0
binoculars            0            0      0    0      0    0         0        0    0         0       0     0             1       0        0              0    0    0         0     0      0        1           6      0     0          0
blimp                 1            0      0    0      0    0         0        0    0         0       0     0             0       0        0              0    0    0         0     0      0        0           0      7     0          0
book                  0            0      0    0      0    0         0        0    0         0       0     0             0       0        0              0    0    0         0     0      0        0           0      0     8          0
bookshelf             0            0      0    0      0    0         0        0    0         0       0     1             0       0        0              0    0    0         0     0      0        0           0      0     1          6
